Temperature,Voltage [Heating],Voltage [Cooling],Mean Voltage,Rho_0,Rho,1/T,ln Rho
301,113.2,,113.2,29.64,8.98,3.32,2.19
306,114.2,,114.2,29.9,9.06,3.27,2.2
311,114.4,,114.4,29.95,9.08,3.22,2.21
316,114.3,116,115.2,30.16,9.14,3.16,2.21
321,109.5,113.8,111.7,29.24,8.86,3.12,2.18
326,106.3,109.2,107.8,28.22,8.55,3.07,2.15
331,101.2,102.6,101.9,26.68,8.08,3.02,2.09
336,93.6,94.8,94.2,24.66,7.47,2.98,2.01
341,83.6,86.9,85.3,22.33,6.77,2.93,1.91
346,75.4,76.4,75.9,19.87,6.02,2.89,1.8
351,67,67.5,67.3,17.62,5.34,2.85,1.68
356,58.4,59.4,58.9,15.42,4.67,2.81,1.54
361,57.1,52.1,54.6,14.29,4.33,2.77,1.47
366,44.9,45.5,45.2,11.83,3.58,2.73,1.28
371,38.6,39.7,39.2,10.26,3.11,2.7,1.13
376,33.7,34.5,34.1,8.93,2.71,2.66,1
381,30.1,30.2,30.2,7.91,2.4,2.62,0.88
386,26.5,26.5,26.5,6.94,2.1,2.59,0.74
391,23.2,23.1,23.2,6.07,1.84,2.56,0.61
396,20.4,20.4,20.4,5.34,1.62,2.53,0.48
401,17.9,18.1,18,4.71,1.43,2.49,0.36
